NurseryID,Name,Phone_number,Location,Email,Price_Range,GST_number,Rating,Number_of_Rating
N1,Christian,+91-393-862-1133,Okhla,whitenicole@gmail.com,4900,J66V8580Y80Y3E2,4.23,117
N10,Catherine,+91-032-644-1522,Udyog Vihar,robin90@hotmail.com,31200,JW1MY429O5ZHLPH,1.97,114
N11,Lisa,+91-944-240-7426,DLF Phase 5,vharrison@gmail.com,32200,OHIYR5MGO4SAJ1M,4.36,56
N12,Clifford,+91-503-598-4874,Chattarpur,melissa10@gmail.com,46900,C5Z59WU5C5B339T,4.33,51
N13,Anthony,+91-000-873-8073,Karol Bagh,palmergraham@yahoo.com,18600,HU9H603PBSW5538,3.86,108
N14,Samuel,+91-909-236-1245,Karol Bagh,xlamb@hotmail.com,25200,312S324E0XW1QLO,5.00,80
N15,Christian,+91-259-377-4757,Haus Khas,fturnbull@yahoo.com,37900,8VHR093RE6B5439,4.78,100
N16,Christian,+91-381-393-9788,Manesar,anthonyharris@yahoo.com,34000,W0KJ3M23O2L7686,4.95,88
N17,Owen,+91-852-592-7090,Ghaziabad,shahstephanie@hotmail.com,29600,02L9Q013L24P6W5,1.74,3
N18,Luke,+91-067-583-3271,Manesar,lorraineclark@gmail.com,18000,1N7F3M510DL61W8,4.40,43
N19,Elliot,+91-447-771-1998,Karol Bagh,jonesdylan@yahoo.com,25800,68D676F2Y7JZ2OJ,1.89,14
N2,Brandon,+91-143-015-1855,Lodi Road,howarthjade@hotmail.com,37500,M31RY16ACAJ8344,4.48,50
N20,Mathew,+91-942-840-0314,Cyber Park,naomi95@hotmail.com,22800,Z205H4Z4KIX83S5,3.33,52
N21,Brandon,+91-231-269-3171,Rajori Gardens,hannahbenson@yahoo.com,38400,74L162RT4146RE7,3.77,55
N22,Ann,+91-868-092-6177,Harkesh Nagar,james26@gmail.com,25300,904Q7XC450O9GA2,3.23,97
N23,Kyle,+91-775-867-5170,Vasant Kunj,begumbethan@yahoo.com,14200,5UF63CRD5HMVW29,2.42,26
N24,Amber,+91-713-116-0025,Cyber Park,tjackson@hotmail.com,15100,K1M575VV4OHWHFT,4.53,44
N25,Leon,+91-739-776-7367,Karol Bagh,ben02@gmail.com,30900,46YQ2982TQXKO3R,3.56,65
N26,Georgia,+91-135-404-8452,Harkesh Nagar,mcurtis@yahoo.com,39300,42AS053GCJS81V6,4.12,46
N27,Joshua,+91-253-227-3989,Greater Kailash,carole79@yahoo.com,2100,UL5562X0CHAU43U,4.59,35
N28,Duncan,+91-114-471-7863,Defence Colony,marie53@yahoo.com,44000,N8MF79HV8H6DS8M,4.33,54
N29,Ross,+91-682-786-3158,Connaught Place,leon82@yahoo.com,49100,647816GYWGKVBUM,2.47,56
N3,Sharon,+91-392-675-4126,DLF Phase 5,jay69@yahoo.com,20900,HULRLAAW43SRD6Y,4.76,54
N30,Maurice,+91-092-336-5137,Gurugram,chandleriain@yahoo.com,19800,12L627F773MH1R0,1.81,5
N31,Barbara,+91-266-949-0970,Cyber Park,smithangela@yahoo.com,36400,NMZ02TSH3T3ZW6W,3.33,80
N32,Gordon,+91-002-846-6184,Cyber Park,keith70@gmail.com,42900,P0W5ML2EJF7J0R1,1.81,121
N33,Bethan,+91-822-769-8347,Haus Khas,clarkcraig@gmail.com,30000,4W44J54CU5N04NM,3.52,41
N34,Owen,+91-182-345-1228,Rajori Gardens,nlambert@hotmail.com,35600,MQKGM3Z57094789,3.25,31
N35,Shirley,+91-106-540-3610,Bombay,garethcoles@yahoo.com,12200,8W2UU18X449195V,4.33,17
N36,Tracey,+91-933-959-2918,Pragati Maidan,georgia24@gmail.com,1600,IY6PC501O02Q9Q2,4.09,84
N37,Luke,+91-335-669-0129,Manesar,tgeorge@yahoo.com,47900,57M20CLEMUH68W7,4.80,86
N38,Brian,+91-318-208-1777,Cyber Park,gillian07@yahoo.com,2800,8990735KWILTY96,4.56,48
N39,Joanna,+91-876-112-4761,Lajpat Nagar,damien78@yahoo.com,44300,7JLG01S18691050,1.90,17
N4,Katy,+91-892-518-9321,Greater Kailash,joneswendy@hotmail.com,18200,532NPV953ZHCS03,3.43,102
N40,Frances,+91-664-641-8822,Defence Colony,lynda51@gmail.com,25700,9W1022A18M54R45,3.49,57
N41,Ashleigh,+91-436-357-5081,Rohini,james84@hotmail.com,47200,7ZSRAX9ED0BA842,3.43,108
N42,Marcus,+91-416-641-1160,Lajpat Nagar,simon32@hotmail.com,33600,L2BLOT9806S5BO3,2.29,6
N43,Christian,+91-327-676-8165,Okhla,uhoward@yahoo.com,45800,8DI1YC80325OYA6,2.70,16
N44,Donald,+91-284-270-4850,Bombay,amber63@yahoo.com,40400,6KTKRPE23TV2B1E,4.13,80
N45,Hilary,+91-295-750-5481,Udyog Nagar,elliotmorley@gmail.com,11100,D69HZ6575044805,2.52,57
N46,Katie,+91-767-183-2887,Kalkaji,anna97@yahoo.com,19000,376R2M4A919BMUY,1.62,28
N47,Jordan,+91-017-235-1588,Okhla,cheryl80@hotmail.com,21900,942087284N11357,1.81,99
N48,Marion,+91-331-549-7223,Chattarpur,sallynewman@gmail.com,36800,X10T95D45QR6N1X,4.08,46
N49,Terence,+91-940-099-9693,Manesar,martinjames@gmail.com,3700,8E665904684V02D,3.13,34
N5,Roger,+91-237-622-1273,Cyber Park,codonnell@yahoo.com,47200,D3R03M1N14699NI,3.09,113
N50,Lee,+91-352-793-5857,Rajori Gardens,lynchirene@gmail.com,11100,WXLV3IIQBEC973T,2.02,97
N51,daniel,9911664451,Noida,daniel@gmail.com,500,0766721,0.01,0
N6,Henry,+91-239-041-7009,Green Park,janicebond@gmail.com,38600,BZRD959T5RKZ3UK,4.98,98
N7,Catherine,+91-119-607-8825,Haus Khas,kjohnson@yahoo.com,30500,268QK6G59Y8VXEL,4.57,68
N8,Alexandra,+91-442-565-4985,Greater Kailash,kingmarc@gmail.com,11500,96477184X3V2288,1.63,13
N9,Kevin,+91-619-174-9315,Kalkaji,ruth42@yahoo.com,43700,D1C03DA539KUZ98,2.54,109
